"fips","stateFips","countyFips","state","county","population","births","deaths","internationalMigration","domesticMigration","area","longitude","latitude","pctLeq19","pct20to64","pctGeq65","pctBdegree","medianIncome"
"01001","01","001","Alabama","Autauga County",55869,624,541,-16,270,1539602123,-86.6429591118766,32.5353056053574,0.631296843470741,0.293105001441338,0.0755981550879216,0.277,59338
"01003","01","003","Alabama","Baldwin County",223234,2304,2326,80,5297,4117546676,-87.7227405616757,30.7276723253006,0.619636172093986,0.280628609590458,0.0997352183155558,0.313,57588
"01005","01","005","Alabama","Barbour County",24686,256,312,13,-141,2292144655,-85.3925775900916,31.8697114634689,0.613573407202216,0.292303126236644,0.0941234665611397,0.122,34382
"01007","01","007","Alabama","Bibb County",22394,240,252,10,31,1612167481,-87.1266067390919,32.9984171585729,0.613133050997,0.306754014469737,0.0801129345332628,0.115,46064
"01009","01","009","Alabama","Blount County",57826,651,657,6,59,1670103911,-86.5668228675071,33.9811777882754,0.627480047575543,0.283307189767811,0.0892127626566459,0.126,50412
"01011","01","011","Alabama","Bullock County",10101,109,109,-1,-72,1613059160,-85.7157294310087,32.1004586839645,0.613396061693666,0.307498302454166,0.079105635852168,0.133,29267
"01013","01","013","Alabama","Butler County",19448,213,272,18,-141,2012002530,-86.6803397710235,31.7526393365688,0.624892812105927,0.277326607818411,0.097780580075662,0.161,37365
"01015","01","015","Alabama","Calhoun County",113605,1269,1532,14,-475,1569189622,-85.8255162348966,33.7714375437871,0.622354612649048,0.291084129419148,0.0865612579318039,0.18,45400
"01017","01","017","Alabama","Chambers County",33254,354,441,6,-265,1545085607,-85.3918527009641,32.9136603170436,0.615875181680657,0.288731349924362,0.0953934683949812,0.132,39917
"01019","01","019","Alabama","Cherokee County",26196,222,343,-3,306,1433623321,-85.6038097423516,34.1758965840672,0.608964690412654,0.277951811888463,0.113083497698882,0.129,42132
"01021","01","021","Alabama","Chilton County",44428,551,503,35,184,1794477075,-86.718594517159,32.8480873906122,0.629745614632265,0.288458483672589,0.081795901695146,0.142,47547
"01023","01","023","Alabama","Choctaw County",12589,133,176,-2,-199,2365869835,-88.2630726338015,32.020182073814,0.61104673619158,0.275241405948243,0.113711857860178,0.13,39907
"01025","01","025","Alabama","Clarke County",23622,266,324,-5,-232,3207494111,-87.8307993966987,31.6766957417028,0.621205829838475,0.28239837229581,0.0963957978657144,0.126,40741
"01027","01","027","Alabama","Clay County",13235,143,187,-2,-12,1564251835,-85.8606641603887,33.268872910035,0.61472282486721,0.284057754170719,0.101219420962071,0.102,39201
"01029","01","029","Alabama","Cleburne County",14910,187,189,-11,-86,1450663940,-85.5188412347984,33.6743661720313,0.62489932885906,0.279563758389262,0.0955369127516778,0.137,46495
"01031","01","031","Alabama","Coffee County",52342,599,570,34,334,1758565925,-85.9880708261051,31.4020138256863,0.629747079461773,0.28742722751282,0.0828256930254077,0.234,55122
"01033","01","033","Alabama","Colbert County",55241,630,719,73,256,1535202321,-87.8050592610361,34.7005077081823,0.615889908256881,0.286110091743119,0.098,0.187,49055
"01035","01","035","Alabama","Conecuh County",12067,123,182,1,-167,2202007854,-86.9937723145374,31.4293311511543,0.6152057101612,0.27520250220547,0.109591787633331,0.107,32613
"01037","01","037","Alabama","Coosa County",10663,89,122,13,42,1685850815,-86.2477727925396,32.9363223221186,0.591035893620978,0.295145992188953,0.113818114190069,0.116,42423
"01039","01","039","Alabama","Covington County",37049,413,543,-5,235,2669129020,-86.4514074071179,31.2484726161219,0.618812681979942,0.277863151083792,0.103324166936267,0.149,40203
"01041","01","041","Alabama","Crenshaw County",13772,137,179,3,-14,1576952799,-86.3135263948586,31.7314732257098,0.62572994016293,0.280657486843054,0.0936125729940163,0.156,39057
"01043","01","043","Alabama","Cullman County",83768,990,1050,34,380,1903073019,-86.867459722222,34.1317105260636,0.622929128149357,0.285626246148269,0.0914446257023745,0.137,45796
"01045","01","045","Alabama","Dale County",49172,648,546,18,-89,1453244553,-85.6109591097634,31.4317200327457,0.626488034778369,0.291797017836103,0.081714947385528,0.17,45309
"01047","01","047","Alabama","Dallas County",37196,438,542,5,-1002,2534919599,-87.1065206685659,32.326066235053,0.634400102001785,0.278911130944792,0.0866887670534234,0.151,34035
"01049","01","049","Alabama","DeKalb County",71513,795,819,44,90,2012676479,-85.8042093695647,34.4599638591712,0.634137146208303,0.281727802058171,0.0841350517335269,0.127,39491
"01051","01","051","Alabama","Elmore County",81209,932,821,25,67,1601769095,-86.1489629602335,32.5970673059974,0.622519191449245,0.303861552211761,0.0736192563389938,0.245,60367
"01053","01","053","Alabama","Escambia County",36633,420,474,-1,166,2448115119,-87.1614890428437,31.126243338322,0.621024381125324,0.292480038454349,0.0864955804203274,0.127,38418
"01055","01","055","Alabama","Etowah County",102268,1175,1487,37,-62,1386373604,-86.0344644317032,34.0449791609527,0.619478370882195,0.28762104033867,0.0929005887791348,0.177,44903
"01057","01","057","Alabama","Fayette County",16302,174,225,5,-97,1625693290,-87.7388833604395,33.7212745237406,0.616620111731844,0.278327665776051,0.105052222492106,0.129,39254
"01059","01","059","Alabama","Franklin County",31362,432,367,29,-28,1641841406,-87.8436264739321,34.4420421370934,0.633941895538974,0.283695824734085,0.0823622797269408,0.129,39388
"01061","01","061","Alabama","Geneva County",26271,278,365,-7,62,1487897666,-85.8391402717067,31.0949358549234,0.620661594943416,0.279209719541274,0.10012868551531,0.111,37823
"01063","01","063","Alabama","Greene County",8111,96,93,0,-101,1675782061,-87.9522852331327,32.8535003544402,0.620768307322929,0.272509003601441,0.10672268907563,0.101,28524
"01065","01","065","Alabama","Hale County",14651,190,181,-3,-103,1667907112,-87.6291704410768,32.7627003308068,0.628274372130705,0.277781528490413,0.093944099378882,0.141,34724
"01067","01","067","Alabama","Henry County",17205,167,213,-1,79,1454926621,-85.2413999233682,31.5145490210591,0.614014113255963,0.27488773546393,0.111098151280107,0.18,46027
"01069","01","069","Alabama","Houston County",105882,1304,1137,11,936,1501854593,-85.3023395166919,31.1530171506491,0.626315335518372,0.286747934755525,0.0869367297261035,0.21,47993
"01071","01","071","Alabama","Jackson County",51626,562,675,-7,128,2791974056,-85.9990167689174,34.7796714450261,0.61588549191855,0.286376158276985,0.0977383498044655,0.142,41929
"01073","01","073","Alabama","Jefferson County",658573,8422,7343,460,-2375,2878465205,-86.8963076511251,33.5545059791167,0.626902883356569,0.296127712959859,0.0769694036835726,0.324,55013
"01075","01","075","Alabama","Lamar County",13805,159,172,-1,-64,1566544637,-88.0968793939195,33.778938993577,0.619496629858024,0.273160762942779,0.107342607199197,0.125,40936
"01077","01","077","Alabama","Lauderdale County",92729,876,1136,35,355,1730146083,-87.6541431902189,34.901452897135,0.614698826428062,0.287444077027816,0.0978570965441224,0.239,48707
"01079","01","079","Alabama","Lawrence County",32924,349,428,-3,69,1788864247,-87.3109152234951,34.5225531798985,0.618112499621774,0.29093164694847,0.0909558534297558,0.117,43909
"01081","01","081","Alabama","Lee County",164542,1825,1133,303,-112,1573548952,-85.3548982153435,32.6010633543014,0.629894680824732,0.312523204871167,0.0575821143041014,0.341,48937
"01083","01","083","Alabama","Limestone County",98915,1014,864,32,2545,1450277885,-86.9814808815176,34.8101592237694,0.624721933857334,0.300645113450986,0.0746329526916803,0.255,64863
"01085","01","085","Alabama","Lowndes County",9726,116,141,-1,-223,1854201378,-86.6499910138156,32.1551199088267,0.622816593886463,0.28637356093688,0.0908098451766574,0.141,33973
"01087","01","087","Alabama","Macon County",18068,172,264,1,-162,1576855717,-85.6925689906124,32.3858272894384,0.61564916022394,0.287470007997867,0.0968808317781925,0.207,32495
"01089","01","089","Alabama","Madison County",372909,4242,3305,230,4721,2076091216,-86.5498061053686,34.7628610089535,0.62406729336428,0.302739817087019,0.0731928895487002,0.417,63755
"01091","01","091","Alabama","Marengo County",18863,209,276,3,-129,2530140238,-87.7892210612038,32.2477940495961,0.624825806451613,0.278503225806452,0.0966709677419355,0.154,37733
"01093","01","093","Alabama","Marion County",29709,302,405,3,62,1922656563,-87.8872452450011,34.1367545598478,0.61487279187477,0.279975195253578,0.105152012871652,0.131,37887
"01095","01","095","Alabama","Marshall County",96774,1395,1155,65,303,1465531860,-86.3063228342992,34.3670330006158,0.636392179846779,0.279759911248796,0.083847908904425,0.192,46233
